siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005650148,00058,00565014800058,O,2003-03-02,,,2025-04-04T05:18:18,false,2,,1,RUE,MAURICE HOLLANDE,51100,REIMS,51454,514546085_B,778970.98,6903899.23,2025-04-01,A,,68.20A,NAFRev2,O
006880090,00037,00688009000037,O,1980-06-27,,,2024-03-30T02:27:01,true,1,P A DE L ABBAYE III,9,RUE,PIERRE ET MARIE CURIE,44160,PONTCHATEAU,44129,441290211_B,319587.14796029637,6713804.008327351,2020-09-01,A,,28.93Z,NAFRev2,N
007080773,00018,00708077300018,O,2023-03-26,03,2022,2025-01-30T02:54:57,true,5,LIEUDIT LE PONT,,LD,LE PONT,44460,AVESSAC,44007,,,,2008-01-01,A,,08.11Z,NAFRev2,O
007120231,00043,00712023100043,O,1981-08-16,,,2025-01-23T02:53:47,true,1,,51,CHAUSSEE,MARCADE,80100,ABBEVILLE,80001,800011240_B,616226.0339101293,7001914.651381866,2020-12-02,A,,43.32A,NAFRev2,N
007350119,00082,00735011900082,O,2023-09-21,,,2025-01-14T03:18:43,true,3,,,,QUARTIER FUGUEIRONS,13450,GRANS,13044,,,,2013-02-08,A,,46.69B,NAFRev2,N
009258518,00019,00925851800019,O,1985-04-05,,,2024-03-30T08:01:12,true,2,MR CRETON MICHEL,10,RUE,DE L'ARQUEBUSE,51100,REIMS,51454,514540410_B,774486.3320411168,6906472.027487695,2008-01-01,A,,81.10Z,NAFRev2,N
009716580,00015,00971658000015,O,1988-07-10,,,2024-03-30T01:49:30,true,4,,,RUE,TEILHARD DE CHARDIN,10600,LA CHAPELLE-SAINT-LUC,10081,100810luoxj_B,776488.313970906,6801196.506621176,2013-03-31,A,,81.10Z,NAFRev2,N
009744079,00014,00974407900014,O,2015-12-01,,,2024-03-30T04:57:08,true,2,,10,BOULEVARD,RENE LAENNEC,35000,RENNES,35238,352385260_B,352941.4241760781,6789008.279932515,2008-01-01,A,,81.10Z,NAFRev2,N
010438703,00018,01043870300018,O,1980-03-08,,,2024-03-30T18:45:23,true,3,MR GUILLEMOT ALAIN,4,RUE,DU COMBAT DES TRENTE,22000,SAINT-BRIEUC,22278,222781110_B,275031.04514881736,6838876.957512035,2008-01-01,A,,81.10Z,NAFRev2,N
012894499,00016,01289449900016,O,2003-09-29,01,2022,2024-03-22T15:40:57,true,2,,12,QUAI,ALEXANDRE 3,50100,CHERBOURG-EN-COTENTIN,50129,,,,2008-01-01,A,,81.10Z,NAFRev2,O
013247820,00015,01324782000015,O,2012-09-11,01,2022,2024-03-30T16:15:25,true,2,,209,RUE,SAINT-LEONARD,49000,ANGERS,49007,490077270_B,434060.20819982974,6712724.79561776,2008-01-01,A,,81.10Z,NAFRev2,O
013659545,00019,01365954500019,O,1984-05-17,,,2024-03-30T10:24:40,true,3,,34,RUE,DU BOIS BOURGEOIS,25200,MONTBELIARD,25388,253880170_B,985216.0518296727,6719448.144220293,2022-07-31,A,,81.10Z,NAFRev2,N
013659867,00017,01365986700017,O,2019-06-07,,,2024-03-30T10:51:38,true,4,BAT. 35,34,RUE,DU PETIT CHENOIS,25200,MONTBELIARD,25388,253881420_B,985878.3311642846,6718170.713712498,2017-12-31,A,,81.10Z,NAFRev2,N
013877279,00011,01387727900011,O,1987-12-01,,,2024-03-30T07:55:18,true,4,,,RUE,LOUIS ROUSSEAU,39000,LONS-LE-SAUNIER,39300,393000600_B,895438.6436062908,6622175.798742311,2008-01-01,A,,81.10Z,NAFRev2,N
013975065,00015,01397506500015,O,1992-07-25,01,2022,2024-03-30T14:39:17,true,2,,5,RUE,DES FOSSES,58400,LA CHARITE-SUR-LOIRE,58059,580590960_B,701586.3551147133,6675352.757611429,2008-01-01,A,,81.10Z,NAFRev2,O
014727507,00015,01472750700015,O,2018-11-07,,,2024-03-30T17:16:38,true,2,,83,RUE,DE LYON,03000,MOULINS,03190,031901370_B,725549.7353395966,6606625.041337665,2008-01-01,A,,81.10Z,NAFRev2,N
014731046,00018,01473104600018,O,2004-08-09,01,2022,2024-03-30T00:12:49,true,2,,4,RUE,DE LA COMEDIE,03300,CUSSET,03095,030950690_B,735132.8347859998,6559368.03133028,2008-01-01,A,,81.10Z,NAFRev2,O
014852131,00011,01485213100011,O,2021-09-08,,,2024-03-30T13:04:14,true,3,,69,RUE,PAUL DOUMER,15000,AURILLAC,15014,150141815_B,655867.9983590218,6424954.214495809,2008-01-01,A,,81.10Z,NAFRev2,N
016250102,00163,01625010200163,O,1999-05-22,22,2022,2025-04-06T02:08:03,true,2,,53,BOULEVARD,ORNANO,93200,SAINT-DENIS,93066,930666870_B,651944.5271284864,6868609.167392648,2022-07-29,A,,46.43Z,NAFRev2,O
017151200,00205,01715120000205,O,1993-09-23,11,2022,2024-03-30T06:31:21,false,4,,7,RUE,DANTON,21210,SAULIEU,21584,215840660_B,793055.6205479663,6687132.218041456,2008-01-01,A,,69.20Z,NAFRev2,O
017270091,00030,01727009100030,O,1991-07-13,,,2024-03-30T01:23:32,true,3,,,,LE CARDONNOY,76390,AUMALE,76035,76035B006_C,,,2008-01-01,A,,45.31Z,NAFRev2,N
017407297,00013,01740729700013,O,2025-12-18,01,2022,2024-03-29T23:33:13,true,3,,16,AVENUE,D'ASSAS,34000,MONTPELLIER,34172,341720370_B,769979.8858772838,6279781.45180802,2008-01-01,A,,81.10Z,NAFRev2,O
017409483,00017,01740948300017,O,2016-03-15,,,2024-03-30T15:46:00,true,2,,,RUE,DU CURAT,34090,MONTPELLIER,34172,341721650_B,770959.106443838,6281074.006764545,2008-01-01,A,,81.10Z,NAFRev2,N
019565563,00012,01956556300012,O,2013-02-11,01,2022,2024-03-22T15:40:57,true,2,,,,,05560,VARS,05177,,,,2008-01-01,A,,81.10Z,NAFRev2,O
019761873,00017,01976187300017,O,1987-06-11,,,2024-03-29T22:38:04,true,2,,13,RUE,DE TURCKHEIM,06400,CANNES,06029,060294020_B,1025623.5816334998,6281107.53288488,2008-01-01,A,,81.10Z,NAFRev2,N
019794320,00010,01979432000010,O,2006-10-17,,,2024-03-30T14:09:07,true,2,,4,AVENUE,SELVOSA,06400,CANNES,06029,060293730_B,1025590.9936763954,6281295.504141435,2008-01-01,A,,81.10Z,NAFRev2,N
019821875,00010,01982187500010,O,2003-12-05,,,2024-03-29T22:54:40,true,3,,34,AVENUE,MARECHAL JUIN,06400,CANNES,06029,060292347_B,1025969.532509061,6280652.902891675,2021-12-31,A,,81.10Z,NAFRev2,N
019833227,00010,01983322700010,O,1986-07-09,,,2024-03-30T11:50:37,true,2,,17,AVENUE,MARECHAL JUIN,06400,CANNES,06029,060292347_B,1025895.9000260502,6280722.032746276,2008-01-01,A,,81.10Z,NAFRev2,N
019849082,00011,01984908200011,O,1993-05-30,,,2024-03-30T06:09:25,true,2,,8,AVENUE,MALAUSSENA,06000,NICE,06088,060883905_B,1043595.4724939098,6299063.3756233575,2008-01-01,A,,81.10Z,NAFRev2,N
