siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005620190,00057,00562019000057,O,1984-07-12,,,2024-03-30T04:48:25,false,1,,,,SAINTE CROIX,76470,LE TREPORT,76711,76711B014_C,,,2014-09-23,A,,49.39A,NAFRev2,N
009718024,00012,00971802400012,O,1993-12-23,,,2024-03-30T12:57:48,true,5,,58,RUE,JAILLANT DESCHAINETS,10000,TROYES,10387,103872730_B,779292.1899792496,6799958.418569861,2016-12-31,A,,81.10Z,NAFRev2,N
009718099,00022,00971809900022,O,2007-08-05,01,2022,2025-01-19T03:08:20,true,3,26 A 32 BD DU 14 JUILLET E,2,RUE,DU GROS RAISIN,10000,TROYES,10387,103872350_B,779767.5015910311,6799820.595449155,2008-01-01,A,,81.10Z,NAFRev2,O
009744897,00019,00974489700019,O,2010-03-11,,,2024-03-30T06:19:10,true,2,,6,RUE,DE LA BARRE,35600,REDON,35236,352360050_B,318634.4705869052,6741002.20021256,2008-01-01,A,,81.10Z,NAFRev2,O
010726446,00015,01072644600015,O,2005-02-07,,,2024-03-29T23:02:06,true,2,RISQUE DOUARNENEZ,23,RUE,DUGUAY TROUIN,29100,DOUARNENEZ,29046,290460300_B,155001.49512332305,6802175.186616053,2008-01-01,A,,81.10Z,NAFRev2,N
013168901,00018,01316890100018,O,1994-11-04,01,2022,2024-03-30T16:03:25,true,2,,8,RUE,DE LA VERRERIE,72000,LE MANS,72181,721815450_B,490856.77832978556,6771196.276148061,2008-01-01,A,,81.10Z,NAFRev2,O
013249693,00014,01324969300014,O,2025-10-13,,,2024-03-30T09:49:49,true,3,,20,RUE,HOCHE,49100,ANGERS,49007,490074040_B,432077.8507572306,6713440.127723834,2008-10-31,A,,81.10Z,NAFRev2,N
014846505,00015,01484650500015,O,1986-08-14,01,2022,2024-03-30T17:04:53,true,3,,,RUE,DU PUY DE VAURS,15130,ARPAJON-SUR-CERE,15012,150120440_B,657284.5368337599,6423022.492873373,2008-01-01,A,,81.10Z,NAFRev2,O
015851793,01071,01585179301071,O,1986-11-24,,,2025-04-06T02:07:27,false,1,,,,GRANDES BOUTEILLES,70160,FAVERNEY,70228,70228B081_C,,,2024-04-02,A,,46.73A,NAFRev2,O
017150681,00025,01715068100025,O,2003-01-25,,,2025-02-17T02:10:29,true,8,,12,RUE,EDMOND VOISENET,21000,DIJON,21231,212312935_B,852938.4345831904,6690496.851163472,2023-02-01,A,,68.20B,NAFRev2,O
019564582,00013,01956458200013,O,2016-10-02,01,2022,2024-03-22T15:40:57,true,2,,,,COMMERCIAL PRE LONG,05240,LA SALLE-LES-ALPES,05161,,,,2008-01-01,A,,81.10Z,NAFRev2,O
019764893,00012,01976489300012,O,2001-10-29,,,2024-03-30T06:36:42,true,2,,18,RUE,ASSALIT,06000,NICE,06088,060880405_B,1043889.9129578215,6298976.9068565825,2008-01-01,A,,81.10Z,NAFRev2,N
019768712,00010,01976871200010,O,2007-03-27,,,2024-03-30T17:35:27,true,3,1,2,RUE,ANDRIOLI,06000,NICE,06088,060880230_B,1042918.1180757261,6297557.15692744,2008-01-01,A,,81.10Z,NAFRev2,N
019769405,00010,01976940500010,O,1981-06-18,01,2022,2024-03-30T07:18:54,true,2,,,AVENUE,DE PROVENCE,06130,GRASSE,06069,060693840_B,1016375.4299912229,6291623.995634421,2008-01-01,A,,81.10Z,NAFRev2,O
