siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
006474324,00040,00647432400040,P,1990-03-25,,,2024-03-30T14:13:41,true,1,[ND],[ND],[ND],[ND],[ND],PENESTIN,56155,[ND],[ND],[ND],2007-01-01,A,[ND],68.20A,NAFRev2,N
008024044,00011,00802404400011,O,2017-02-04,,,2024-03-30T00:33:05,true,2,,,RUE,PAUL DERIGNAC,87000,LIMOGES,87085,870853915_B,563995.6838924736,6526923.827795279,2008-01-01,A,,81.10Z,NAFRev2,N
008025363,00014,00802536300014,O,2005-02-09,01,2022,2024-03-30T08:24:34,true,2,,1,RUE,PIERRE ASTIER,87000,LIMOGES,87085,870854107_B,562946.9908899046,6526938.636525616,2008-01-01,A,,81.10Z,NAFRev2,O
008575250,00017,00857525000017,O,2010-02-17,01,2022,2024-03-30T04:28:36,true,2,,8,RUE,BASTONNIER,08300,RETHEL,08362,083620110_B,799165.4087814521,6935042.001143225,2008-01-01,A,,81.10Z,NAFRev2,O
009747601,00012,00974760100012,O,2023-08-09,,,2024-03-30T00:25:53,true,2,24 ET,26,ROUTE,DES EAUX,35500,VITRE,35360,353602066_B,388339.42789618735,6787964.03317361,2008-01-01,A,,81.10Z,NAFRev2,N
011338894,00014,01133889400014,O,2017-02-01,,,2024-03-30T06:00:31,true,3,CENTRE D AFFAIRES NATIONS,,BOULEVARD,DE L'EUROPE,54500,VANDŒUVRE-LES-NANCY,54547,545470271_B,933449.9815834989,6845120.532440635,2015-12-31,A,,81.10Z,NAFRev2,N
013100151,00011,01310015100011,O,2008-05-30,01,2022,2025-04-11T05:23:21,true,3,LES JARDINS DE JANVAL,,RUE,LOUIS FROMAGER,76200,DIEPPE,76217,762171860_B,561429.530718952,6980759.032179027,2023-08-31,A,,81.10Z,NAFRev2,N
013753017,00014,01375301700014,O,2013-05-23,,,2024-03-30T11:32:18,true,2,,4,RUE,PROSPER DE BARANTE,21000,DIJON,21231,212317360_B,852809.3510616946,6692242.098975717,2008-01-01,A,,81.10Z,NAFRev2,N
013755806,00018,01375580600018,O,1995-05-10,01,2022,2024-03-30T17:34:13,true,2,,,RUE,DES ARANDES,21000,DIJON,21231,212310422_B,852206.7564867699,6694772.19845486,2008-01-01,A,,81.10Z,NAFRev2,O
014284442,00010,01428444200010,O,1989-07-30,01,2022,2024-03-29T23:12:52,true,2,7 ET 9,,AVENUE,JEAN JAURES,71100,CHALON-SUR-SAONE,71076,710764180_B,840758.0726675387,6633012.405191964,2008-01-01,A,,81.10Z,NAFRev2,O
014346431,00019,01434643100019,O,1984-07-25,,,2024-03-30T07:52:01,true,2,,145,RUE,MARECHAL FOCH,71200,LE CREUSOT,71153,711532630_B,810155.6955935323,6634737.656410901,2008-01-01,A,,81.10Z,NAFRev2,N
014729198,00011,01472919800011,O,2015-12-24,,,2024-03-30T03:59:02,true,3,,4,PLACE,D'ALLIER,03200,VICHY,03310,033100085_B,732649.5974837454,6558019.708223573,2022-07-31,A,,81.10Z,NAFRev2,N
014731350,00014,01473135000014,O,1981-08-14,,,2024-03-30T02:47:46,true,3,,37,AVENUE,VICTORIA,03200,VICHY,03310,033103320_B,732776.5220921122,6558772.436674393,2016-06-04,A,,81.10Z,NAFRev2,N
014916050,00017,01491605000017,O,2022-01-31,01,2022,2024-03-30T18:13:15,true,3,,,BOULEVARD,DESAIX,43100,BRIOUDE,43040,430400340_B,729720.5114366189,6465995.6181712635,2008-01-01,A,,81.10Z,NAFRev2,O
017240953,00038,01724095300038,O,2022-07-29,11,2022,2025-01-24T02:10:14,true,4,,9,RUE,DE LA GARE,21260,SELONGEY,21599,215990460_B,865558.0787804672,6721831.597422614,2008-01-01,A,,43.32A,NAFRev2,O
017650052,00016,01765005200016,O,2021-02-18,,,2024-03-30T18:10:00,true,3,LE JUPITER,,PLACE,BIR HAKEIM,30000,NIMES,30189,301891100_B,811303.7927426031,6305883.934383879,2017-10-31,A,,81.10Z,NAFRev2,N
019396019,00010,01939601900010,O,1987-08-09,,,2024-03-30T10:41:30,true,2,,11,PLACE,RAYMOND MONDON,57000,METZ,57463,574635565_B,931575.8434743778,6894817.303474434,2008-01-01,A,,81.10Z,NAFRev2,N
019774470,00017,01977447000017,O,2000-02-05,,,2024-03-30T06:38:06,true,3,,18,RUE,ALPHONSE KARR,06000,NICE,06088,060880135_B,1043687.0380783293,6298279.134132746,2008-01-01,A,,81.10Z,NAFRev2,N
019779859,00016,01977985900016,O,1990-01-10,,,2024-03-30T05:34:48,true,2,,12,RUE,EUGENE BRIEUX,06400,CANNES,06029,060291120_B,1026272.6585028453,6279901.845174759,2008-01-01,A,,81.10Z,NAFRev2,N
019781079,00017,01978107900017,O,1985-03-10,01,2022,2024-03-30T05:30:20,true,2,,122,AVENUE,DE LA CALIFORNIE,06200,NICE,06088,060881045_B,1041482.548896556,6296641.740301493,2008-01-01,A,,81.10Z,NAFRev2,O
019790302,00012,01979030200012,O,1995-10-17,,,2025-01-20T02:10:25,true,3,,122,BOULEVARD,PRESIDENT WILSON,06600,ANTIBES,06004,060042783_B,1032305.700917735,6283210.718381661,2012-06-30,A,,81.10Z,NAFRev2,N
019804277,00010,01980427700010,O,1980-02-02,01,2022,2024-03-30T08:17:10,true,3,ALL DES FEES,,,LES FADES,06110,LE CANNET,06030,06030B016_C,,,2023-06-30,A,,81.10Z,NAFRev2,N
019804657,00013,01980465700013,O,2002-05-17,,,2024-03-30T15:50:29,true,2,,67,BOULEVARD,GORBELLA,06100,NICE,06088,060882970_B,1042830.5051882386,6300968.367694577,2008-01-01,A,,81.10Z,NAFRev2,N
019812916,00013,01981291600013,O,1997-04-03,,,2024-03-30T01:13:24,true,2,,28,BOULEVARD,JOSEPH GARNIER,06000,NICE,06088,060883475_B,1043111.8249959316,6299379.702553383,2008-01-01,A,,81.10Z,NAFRev2,N
019815273,00016,01981527300016,O,1992-07-30,,,2024-03-30T08:01:16,true,4,BAT B,69,AVENUE,DES TUILIERES,06800,CAGNES-SUR-MER,06027,060273280_B,1035622.7200921001,6294446.425330123,2008-01-01,A,,81.10Z,NAFRev2,N
019823301,00015,01982330100015,O,1985-08-13,,,2024-03-30T06:22:31,true,2,,13,RUE,SAINT-MICHEL,06500,MENTON,06083,060831280_B,1062574.2136846858,6307720.07791723,2008-01-01,A,,81.10Z,NAFRev2,N
019837178,00011,01983717800011,O,2023-12-30,,,2024-03-30T05:30:07,true,2,,141,AVENUE,DU PETIT JUAS,06400,CANNES,06029,060293010_B,1024026.1559501239,6282236.935152767,2008-01-01,A,,81.10Z,NAFRev2,N
019850270,00018,01985027000018,O,2000-09-01,,,2024-03-30T08:10:41,true,2,,37,AVENUE,DU CHATAIGNIER,06600,ANTIBES,06004,060040702_B,1031893.8015363857,6284422.599254146,2008-01-01,A,,81.10Z,NAFRev2,N
020805420,00013,02080542000013,O,2012-10-25,01,2022,2024-03-30T18:12:48,true,2,LES PERVENCHES,,ROUTE,DES SANGUINAIRES,20000,AJACCIO,2A004,2A0041300_B,1169458.9972258345,6106624.072932966,2008-01-01,A,,68.32A,NAFRev2,O
021003132,00012,02100313200012,O,2008-02-20,,,2024-03-30T13:51:44,true,2,,60,AVENUE,COLONEL PICOT,83100,TOULON,83137,831371755_B,941642.5275885977,6230106.80343858,2008-01-01,A,,81.10Z,NAFRev2,N
021505854,00014,02150585400014,O,2015-06-30,,,2024-03-22T15:40:57,true,3,PRO LE ST GEORGES,15,COR,DU PDT JOHN F KENNEDY,13007,MARSEILLE 7,13207,,,,2013-06-30,A,,81.10Z,NAFRev2,N
021513189,00015,02151318900015,O,2011-04-07,,,2024-03-30T04:31:41,true,3,PRO VIEUX CYPRES,,TRAVERSE,DE LA ROSE,13013,MARSEILLE,13213,13213z9l2pj_B,897893.6839688463,6252635.515778241,2010-03-31,A,,81.10Z,NAFRev2,N
021514419,00015,02151441900015,O,1997-06-09,,,2024-03-30T12:37:06,true,2,PRO 126 BD NOTRE DAME,126,BOULEVARD,NOTRE DAME,13006,MARSEILLE,13206,132066561_B,892835.0932684814,6245708.1434298735,2008-01-01,A,,81.10Z,NAFRev2,N
021520218,00013,02152021800013,O,2008-02-01,,,2024-03-30T08:43:42,true,3,PRO LE KLEBER R FAUCHIER,,RUE,FAUCHIER,13002,MARSEILLE,13202,132023367_B,892427.1123302331,6247884.265790179,2008-01-01,A,,81.10Z,NAFRev2,N
021524574,00015,02152457400015,O,1997-03-12,,,2024-03-30T19:16:59,true,3,,11,RUE,BORDE,13008,MARSEILLE,13208,132081337_B,894045.5595654077,6245077.481342403,2014-12-31,A,,81.10Z,NAFRev2,N
024044265,00015,02404426500015,O,2014-11-29,,,2024-03-22T15:40:57,true,2,,,,TERRE PLEIN,97600,MAMOUDZOU,97611,,,,2008-01-01,A,,56.10C,NAFRev2,N
024046633,00012,02404663300012,O,2011-10-30,,,2025-01-30T02:38:23,true,2,,,QUA,DZAOUDZI GNAMBO,97630,MTSAMBORO,97612,,,,2008-01-01,A,,47.11B,NAFRev2,N
024051625,00010,02405162500010,O,1993-10-15,,,2025-01-15T02:39:38,true,2,LOTISSEMENT SIM 2,,,,97670,OUANGANI,97614,,,,2008-01-01,A,,49.32Z,NAFRev2,N
024054371,00018,02405437100018,O,2019-01-24,,,2024-03-22T15:40:57,true,2,,,PL,DU MARCHE STD NUM B07,97600,MAMOUDZOU,97611,,,,2008-01-01,A,,56.10C,NAFRev2,N
024055428,00023,02405542800023,O,1991-06-24,,,2025-02-03T02:24:01,true,1,,32,RUE,MROPATSE,97660,BANDRELE,97603,976030602_B,520870.19189329713,8572750.45497135,2022-09-22,A,,56.10A,NAFRev2,N
024068637,00040,02406863700040,O,1981-02-06,,,2025-04-16T10:18:30,true,1,I,02,RES,HAWA,97600,MAMOUDZOU,97611,,,,2025-04-08,A,,49.32Z,NAFRev2,N
024079121,00018,02407912100018,O,1988-08-21,,,2024-03-22T15:40:57,true,2,,47,QUA,CAVANI SUD,97600,MAMOUDZOU,97611,,,,2008-01-01,A,,43.12A,NAFRev2,O
025750282,00094,02575028200094,O,2004-03-05,,,2025-02-10T16:00:03,true,1,RESIDENCE VILLA EMERAUDE BATIMENT B2,2,IMP,LECONTE DE LISLE,22100,DINAN,22050,,,,2018-03-31,A,,68.20B,NAFRev2,N
025780487,00028,02578048700028,O,2003-09-14,02,2022,2024-03-30T15:26:32,true,4,,8,RUE,RICARD,79000,NIORT,79191,791914720_B,433782.986643905,6586296.174804284,2008-01-01,A,,47.77Z,NAFRev2,O
