siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
007280365,00136,00728036500136,O,1998-03-19,21,2022,2025-02-14T02:14:59,true,1,ZAC DE LA BROSSE,,RUE,NICOLAS APPERT,44400,REZE,44143,441432697_B,356188.6906302863,6682301.390950311,2017-03-10,A,,46.39A,NAFRev2,O
008022477,00015,00802247700015,O,2017-10-13,,,2024-03-30T06:47:44,true,3,,13,RUE,ARMAND BARBES,87100,LIMOGES,87085,870850275_B,565101.8496351382,6527847.870136322,2013-04-30,A,,81.10Z,NAFRev2,N
008026015,00019,00802601500019,O,2023-02-02,,,2024-03-30T10:30:39,true,2,,5,RUE,DU TEMPLE,87000,LIMOGES,87085,870855015_B,564862.1653912641,6527146.920639949,2008-01-01,A,,81.10Z,NAFRev2,N
011340775,00011,01134077500011,O,2003-02-16,,,2024-03-30T00:24:06,true,4,,2,RUE,BEL AIR,54000,NANCY,54395,543950430_B,932174.5227646433,6847834.841034163,2014-10-31,A,,81.10Z,NAFRev2,N
011401684,00011,01140168400011,O,1994-01-15,01,2022,2024-03-30T13:01:57,true,2,,12,RUE,DE L'ARMEE PATTON,54000,NANCY,54395,543950260_B,933376.0730533401,6848076.717793594,2008-01-01,A,,81.10Z,NAFRev2,O
013166343,00015,01316634300015,O,1982-02-13,,,2024-03-30T16:04:10,true,2,RES DES IFS,1,RUE,DES IFS,72000,LE MANS,72181,721812745_B,491460.859912643,6770465.43074529,2008-01-01,A,,81.10Z,NAFRev2,N
013245345,00015,01324534500015,O,2016-01-29,,,2024-03-30T15:45:14,true,3,,35,RUE,AUDUSSON,49000,ANGERS,49007,490070410_B,432091.65210003435,6712876.487802821,2008-01-01,A,,81.10Z,NAFRev2,N
013245477,00016,01324547700016,O,1983-03-31,,,2024-03-30T06:52:06,true,3,,1,SQUARE,ALEXIS CARREL,49100,ANGERS,49007,490070120_B,433436.4717212662,6714146.983656403,2012-05-14,A,,81.10Z,NAFRev2,N
014198667,00017,01419866700017,O,1998-04-10,,,2024-03-30T03:08:37,true,3,,,RUE,MARCEL BERNARD,70300,LUXEUIL-LES-BAINS,70311,703110393_B,952851.1217480729,6751079.956760302,2008-01-01,A,,81.10Z,NAFRev2,O
014497408,00014,01449740800014,O,1996-11-08,,,2024-03-30T07:32:16,true,2,,12,FAUBOURG,DE MONTBELIARD,90100,DELLE,90033,900330380_B,1000548.9469150326,6719302.587695124,2008-01-01,A,,81.10Z,NAFRev2,N
014497440,00017,01449744000017,O,2011-11-18,,,2024-03-22T15:40:57,true,3,,23,,GRAND' RUE,90000,BELFORT,90010,,,,2012-12-31,A,,81.10Z,NAFRev2,N
014516355,00014,01451635500014,O,2001-05-14,01,2022,2024-03-30T03:05:15,true,2,,7,RUE,DE ZAPOROJIE,90000,BELFORT,90010,900103875_B,988297.9385646496,6732564.703363171,2008-01-01,A,,81.10Z,NAFRev2,O
014729222,00019,01472922200019,O,2000-09-05,,,2024-03-30T12:00:51,true,2,,1,RUE,DE POITIERS,03200,VICHY,03310,033102470_B,733270.7037793972,6559506.061556402,2008-01-01,A,,81.10Z,NAFRev2,N
014916225,00015,01491622500015,O,2000-11-16,,,2024-03-22T15:40:57,true,2,RISQUE BD BERTRAND LE PUY,,DOM,DOMAINE DE FLAGEAC,43230,SAINT GEORGES D'AURAC,43188,,,,2008-01-01,A,,81.10Z,NAFRev2,N
016650046,00051,01665004600051,O,1998-06-09,12,2022,2025-02-02T02:44:51,true,2,,6,IMPASSE,BOIRAC,21000,DIJON,21231,212310960_B,855893.9885993841,6696410.413166854,2008-01-01,A,,43.91B,NAFRev2,O
