siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
008021420,00016,00802142000016,O,2024-05-05,,,2024-03-30T18:14:56,true,3,,15,RUE,EDOUARD MICHAUD,87100,LIMOGES,87085,870851680_B,563589.1391618532,6528558.378437513,2018-03-31,A,,81.10Z,NAFRev2,N
008022733,00011,00802273300011,O,2002-12-15,,,2024-03-30T02:33:23,true,3,,41,RUE,FERDINAND BUISSON,87000,LIMOGES,87085,870851870_B,564518.6334625493,6526468.601017775,2012-12-31,A,,81.10Z,NAFRev2,N
009717182,00019,00971718200019,O,2001-10-23,,,2024-03-30T04:00:26,true,4,,24,AVENUE,CHOMEDEY DE MAISONNEUVE,10000,TROYES,10387,103871120_B,779592.0362900298,6800898.855803978,2008-01-01,A,,81.10Z,NAFRev2,N
009718404,00016,00971840400016,O,2015-02-06,01,2022,2024-03-30T08:01:57,true,4,,30,BOULEVARD,DANTON,10000,TROYES,10387,103871500_B,779912.7319915654,6800863.986452125,2008-01-01,A,,81.10Z,NAFRev2,O
009741950,00019,00974195000019,O,2007-05-03,,,2024-03-30T10:38:43,true,3,,2,RUE,DE JUILLET,35000,RENNES,35238,352385090_B,351608.6045605761,6789411.905601229,2008-01-01,A,,81.10Z,NAFRev2,N
010436897,00010,01043689700010,O,2001-06-27,,,2024-03-22T15:40:57,true,2,,,,126,22370,PLENEUF-VAL-ANDRE,22186,,,,2008-01-01,A,,81.10Z,NAFRev2,N
013167606,00014,01316760600014,O,2007-07-31,,,2024-03-30T00:53:36,true,5,RESIDENCE CONTI,,AVENUE,DU 8 MAI 1945,72400,LA FERTE-BERNARD,72132,721320583_B,525274.277508674,6789906.752468913,2021-02-28,A,,81.10Z,NAFRev2,N
014345318,00019,01434531800019,O,2002-03-28,,,2024-03-30T07:31:48,true,4,9 ET 11,9,RUE,CLAUDE NIEPCE,71100,CHALON-SUR-SAONE,71076,710761740_B,840898.340243517,6634479.777861666,2017-08-31,A,,81.10Z,NAFRev2,N
014727192,00016,01472719200016,O,2014-08-26,,,2024-03-30T03:39:48,true,3,,5,RUE,ALQUIE,03200,VICHY,03310,033100130_B,732285.1339115629,6558305.393403652,2012-01-31,A,,81.10Z,NAFRev2,N
014731293,00016,01473129300016,O,1991-12-17,,,2024-03-29T23:25:15,true,2,,13,AVENUE,THERMALE,03200,VICHY,03310,033103150_B,732396.9143990035,6558849.477095625,2008-01-01,A,,81.10Z,NAFRev2,O
014735336,00019,01473533600019,O,1994-10-06,,,2024-03-30T16:28:19,true,2,,11,RUE,DE VINGRE,03200,VICHY,03310,033103360_B,732269.337070143,6559291.122566773,2008-01-01,A,,81.10Z,NAFRev2,O
019561638,00016,01956163800016,O,2011-06-20,01,2022,2024-03-30T01:57:14,true,2,,24,AVENUE,JEAN JAURES,05000,GAP,05061,050611210_B,944031.4362616262,6388616.090913806,2008-01-01,A,,81.10Z,NAFRev2,O
019563485,00010,01956348500010,O,2022-04-02,,,2025-01-31T03:01:51,true,3,,,,MERLETTE,05170,ORCIERES,05096,05096B202_C,,,2008-01-01,A,,81.10Z,NAFRev2,O
019774512,00016,01977451200016,O,2006-01-23,,,2024-03-30T07:36:33,true,3,,117,BOULEVARD,DE LA CROISETTE,06400,CANNES,06029,060290880_B,1026234.6167466037,6279404.879487002,2016-12-31,A,,81.10Z,NAFRev2,N
019780659,00017,01978065900017,O,1985-05-06,,,2024-03-30T15:20:37,true,2,,17,RUE,DE LEPANTE,06000,NICE,06088,060883615_B,1044047.8206354551,6298826.522212241,2008-01-01,A,,81.10Z,NAFRev2,N
019782515,00019,01978251500019,O,1987-02-10,00,2022,2024-03-30T07:27:19,true,3,,66,BOULEVARD,DE CIMIEZ,06000,NICE,06088,060881410_B,1044176.1113676967,6299843.468224959,2023-10-31,A,,81.10Z,NAFRev2,N
019784040,00016,01978404000016,O,2013-03-25,01,2022,2024-03-30T00:21:41,true,2,,8,BOULEVARD,VICTOR HUGO,06000,NICE,06088,060886655_B,1043828.5708863873,6298301.812042102,2008-01-01,A,,81.10Z,NAFRev2,O
019821750,00015,01982175000015,O,2009-12-22,,,2024-03-30T13:38:24,true,3,,55,AVENUE,DE SOSPEL,06500,MENTON,06083,060831360_B,1061606.0327292916,6308133.901387009,2008-01-01,A,,81.10Z,NAFRev2,N
019828474,00015,01982847400015,O,1986-06-09,,,2024-03-30T06:50:44,true,3,,4,RUE,DE SEPPOIS,06110,LE CANNET,06030,060301560_B,1024487.6876547971,6282614.642360446,2008-01-01,A,,81.10Z,NAFRev2,N
019852516,00012,01985251600012,O,2024-06-22,,,2024-03-30T07:44:59,true,3,,29,BOULEVARD,DE LA MADELEINE,06000,NICE,06088,060883820_B,1041900.3979435626,6297716.032414449,2013-12-31,A,,81.10Z,NAFRev2,N
019900372,00012,01990037200012,O,2023-11-29,,,2024-03-30T00:38:38,true,2,,27,RUE,PAGANINI,06000,NICE,06088,060884630_B,1043596.0230978488,6298687.229585859,2008-01-01,A,,81.10Z,NAFRev2,N
021005798,00018,02100579800018,O,1988-01-13,,,2024-03-29T22:33:28,true,2,,,BOULEVARD,JEAN JAURES,83300,DRAGUIGNAN,83050,830501430_B,980170.6266574058,6276996.534978866,2008-01-01,A,,81.10Z,NAFRev2,N
021007851,00013,02100785100013,O,1982-06-10,01,2022,2024-03-30T05:42:13,true,2,,,,LE PORT,83980,LE LAVANDOU,83070,83070B050_C,,,2008-01-01,A,,81.10Z,NAFRev2,O
021007935,00014,02100793500014,O,2009-08-20,01,2022,2024-03-30T05:40:27,true,4,,,AVENUE,DE L’INFANTERIE DE MARINE,83000,TOULON,83137,831373710_B,939019.9612169985,6228420.625097906,2010-03-07,A,,81.10Z,NAFRev2,O
021008131,00019,02100813100019,O,2019-08-10,,,2024-03-30T13:58:08,true,3,,3,RUE,GEN ALLARD,83990,SAINT TROPEZ,83119,831190030_C,,,2008-01-01,A,,81.10Z,NAFRev2,N
021012141,00012,02101214100012,O,2025-05-11,NN,2022,2024-06-19T05:20:04,true,10,,,,,83420,LA CROIX-VALMER,83048,,,,2024-06-15,A,,81.10Z,NAFRev2,O
021511613,00016,02151161300016,O,1992-01-24,,,2024-03-30T11:50:22,true,2,,5,SQ,MICHELET,13009,MARSEILLE 9EME,13209,132096048_C,,,2008-01-01,A,,81.10Z,NAFRev2,N
021522206,00016,02152220600016,O,2004-12-05,,,2024-03-30T07:01:39,true,2,,17,BOULEVARD,MARCEL,13012,MARSEILLE,13212,132125642_B,896784.0049818592,6249662.364089413,2008-01-01,A,,81.10Z,NAFRev2,N
021961420,00011,02196142000011,O,2013-04-02,,,2024-03-30T18:15:19,true,3,,7,RUE,DES PAPALINES,84000,AVIGNON,84007,840074455_B,845805.4918456317,6317309.222285779,2008-01-01,A,,81.10Z,NAFRev2,N
024041642,00018,02404164200018,O,2023-10-03,,,2025-01-24T03:17:08,true,2,,4,,KAHANI,97670,OUANGANI,97614,97614a2h9kd_B,514257.5123104633,8582244.516756544,2008-01-01,A,,47.11B,NAFRev2,N
024044232,00015,02404423200015,O,1995-02-05,,,2025-01-23T02:15:51,true,2,,,PL,DE LA MAIRIE,97660,DEMBENI,97607,,,,2008-01-01,A,,71.12B,NAFRev2,O
024048423,00024,02404842300024,O,2020-05-04,,,2025-01-16T03:21:36,false,1,QUARTIER MANGABE,15,RUE,CHADALA,97670,OUANGANI,97614,,,,2019-05-14,A,,49.32Z,NAFRev2,N
024049124,00373,02404912400373,O,2003-08-12,,,2025-02-13T02:12:47,false,1,CAVANI,,RUE,DE LA BRIQUETTERIE,97600,MAMOUDZOU,97611,97611rhal3u_B,524181.9027019565,8586939.024941165,2018-07-20,A,DOUKA BE,47.11B,NAFRev2,O
024052391,00018,02405239100018,O,2005-03-28,,,2024-03-22T15:40:57,true,2,,,QUA,KAVANI,97670,CHICONI,97605,,,,2008-01-01,A,,47.11B,NAFRev2,N
024068272,00012,02406827200012,O,2004-04-08,,,2025-01-30T02:34:33,true,2,PAMANDZI,17,RUE,DE LA PEYROUSE,97615,PAMANDZI,97615,976150251_C,,,2008-01-01,A,,49.32Z,NAFRev2,N
024075574,00012,02407557400012,O,2013-11-25,,,2025-02-09T02:28:29,true,2,TZOUNDZOU,,CHE,CHE DE KWALE,97600,MAMOUDZOU,97611,,,,2008-01-01,A,,25.12Z,NAFRev2,O
027070341,00022,02707034100022,O,2015-12-06,,,2025-01-14T02:22:21,true,3,,4,PLACE,DU MARCHE,79120,LEZAY,79148,791480170_B,468315.8536761044,6578281.340800932,2008-01-01,A,,68.20B,NAFRev2,N
027340942,00054,02734094200054,O,1989-11-27,,,2025-01-17T02:47:17,true,5,,6,AVENUE,DE LA BREHAUDAIS,35430,SAINT-JOUAN-DES-GUERETS,35284,352840002_B,333224.4273502059,6845066.204931304,2015-12-20,A,,46.19B,NAFRev2,N
033437310,00015,03343731000015,O,2020-02-03,,,2024-03-22T15:40:57,true,5,,,,,40440,ONDRES,40209,,,,2015-12-31,A,,81.10Z,NAFRev2,N
033510967,00012,03351096700012,O,2008-05-11,,,2024-03-30T18:03:29,true,2,,,PLACE,SAINTE EUGENIE,64200,BIARRITZ,64122,641221830_B,330826.62293774344,6275484.54517869,2008-01-01,A,,81.10Z,NAFRev2,O
035201631,00013,03520163100013,O,2018-10-07,,,2024-03-30T01:44:04,true,5,,,RUE,ROBERT SCHUMAN,31800,SAINT-GAUDENS,31483,314831415_B,514195.72418058297,6226295.97980983,2017-07-31,A,,81.10Z,NAFRev2,N
035212299,00016,03521229900016,O,2006-06-02,,,2024-03-29T23:36:37,true,3,,29,RUE,DE LA DALBADE,31000,TOULOUSE,31555,315552464_B,574181.5098122762,6278821.51709815,2013-12-31,A,,81.10Z,NAFRev2,N
035236983,00017,03523698300017,O,2015-07-01,,,2024-03-30T16:04:08,true,2,,6,BOULEVARD,LAZARE CARNOT,31000,TOULOUSE,31555,315555132_B,574999.6581698513,6279254.409007557,2008-01-01,A,,81.10Z,NAFRev2,N
036640803,00023,03664080300023,O,2025-01-05,,,2025-02-01T02:46:05,true,3,,15,,GRANDE RUE,39100,VILLETTE-LES-DOLE,39573,395730135_B,889315.0826929631,6664109.417582967,2008-01-01,A,,68.20B,NAFRev2,N
038236162,00012,03823616200012,O,2013-07-16,,,2024-03-30T12:04:51,true,3,1-3-5,1,PLACE,DU GENERAL LECLERC,76380,CANTELEU,76157,76157d2fyme_B,556879.391854868,6928454.926206413,2021-08-31,A,,81.10Z,NAFRev2,N
038418497,00012,03841849700012,O,2017-12-03,01,2022,2024-03-30T08:25:26,true,4,,43,RUE,DE LA WANNE,68100,MULHOUSE,68224,682247730_B,1026163.9653495979,6747271.212997796,2021-04-19,A,,81.10Z,NAFRev2,O
038418828,00018,03841882800018,O,2012-09-21,,,2024-03-30T15:57:55,true,3,,3,RUE,DU CHANOINE EUGENE GAGE,68300,SAINT-LOUIS,68297,682970245_B,1042377.3260577335,6730939.47419821,2008-01-01,A,,81.10Z,NAFRev2,N
038420170,00011,03842017000011,O,2008-05-31,01,2022,2024-03-30T05:13:19,true,2,,9,RUE,DES NENUPHARS,68000,COLMAR,68066,680662865_B,1024162.6940855936,6782791.062321604,2008-01-01,A,,81.10Z,NAFRev2,O
038596508,00010,03859650800010,O,1998-06-16,,,2024-03-30T17:03:32,true,4,,3,RUE,DU STADE,67500,HAGUENAU,67180,671802875_B,1050391.7205700087,6866867.20253506,2010-12-31,A,,81.10Z,NAFRev2,N
038598660,00017,03859866000017,O,2015-03-14,,,2024-03-30T02:36:55,true,2,,12,BOULEVARD,DE NANCY,67000,STRASBOURG,67482,674824660_B,1048822.671992976,6841618.821854262,2008-01-01,A,,81.10Z,NAFRev2,O
038631982,00014,03863198200014,O,2015-03-16,,,2024-03-30T16:12:14,true,2,,,,SUPER LIORAN,15300,LAVEISSIERE,15101,15101B139_B,680491.4993727803,6442630.244767815,2008-01-01,A,,81.10Z,NAFRev2,O
038685475,00014,03868547500014,O,1990-10-27,01,2022,2024-03-30T06:04:48,true,2,,29,RUE,TIQUETONNE,75002,PARIS,75102,751029318_B,652138.0091807264,6862939.476573597,2008-01-01,A,,81.10Z,NAFRev2,O
038688370,00014,03868837000014,O,2011-06-16,,,2024-03-22T15:40:57,true,2,L COTRAGIM,25,RUE,EDOUARD BRANLY,78220,VIROFLAY,78686,,,,2008-01-01,A,,81.10Z,NAFRev2,O
038692240,00013,03869224000013,O,1990-06-27,,,2024-03-30T11:47:23,true,3,,291,RUE,DU FBG ST ANTOINE,75011,PARIS 11,75111,751113514_C,,,2012-12-31,A,,81.10Z,NAFRev2,N
038694634,00015,03869463400015,O,1990-01-10,01,2022,2024-03-30T02:19:20,true,2,OIRE 75006 PARIS REP,29,BOULEVARD,JULES SANDEAU,75016,PARIS,75116,751165101_B,646595.4664316017,6862811.670925877,2008-01-01,A,,81.10Z,NAFRev2,O
038697025,00013,03869702500013,O,1993-04-18,01,2022,2024-03-30T13:05:33,true,2,,240,BOULEVARD,SAINT-GERMAIN,75007,PARIS,75107,751078619_B,650527.2412030402,6862024.16041419,2008-01-01,A,,81.10Z,NAFRev2,O
038704045,00012,03870404500012,O,2019-07-19,01,2022,2024-03-30T00:54:54,true,2,,123,RUE,DU FAUBOURG POISSONNIERE,75009,PARIS,75109,751093512_B,652263.1734688686,6864488.5759994965,2008-01-01,A,,81.10Z,NAFRev2,O
038705638,00013,03870563800013,O,2011-01-22,01,2022,2024-03-30T01:48:53,true,2,,10,RUE,SAINT-LAZARE,75009,PARIS,75109,751098673_B,651455.2601992647,6864303.02545677,2008-01-01,A,,81.10Z,NAFRev2,O
038712899,00012,03871289900012,O,2014-09-01,,,2024-03-30T06:00:57,true,2,,19,RUE,DE MONT-LOUIS,75011,PARIS,75111,751116508_B,655176.5788102875,6862213.39150312,2008-01-01,A,,81.10Z,NAFRev2,N
038725016,00018,03872501600018,O,1989-04-29,,,2024-03-30T11:09:41,true,3,RIS REP PAR,15,AVENUE,RENE COTY,75014,PARIS,75114,751148144_B,651114.237456469,6859142.271955725,2008-01-01,A,,81.10Z,NAFRev2,O
